,text,category,toxicity_score,severe_toxicity_score,identity_attack_score,profanity_score,sexually_explicit_score,inflammatory_score,threat_score
0,Something COVID and,sports,0.28517663,0.018948406,0.027312674,0.033198602,0.05056777,0.18396032,0.07648987
1,Did win ?,sports,0.01999182,0.014547733,0.028566133,0.02439081,0.030523071,0.057584047,0.059027057
2,"Experience is the best teacher , Leadership quality , is what we need , you should know what to in , when marked him",sports,0.019158829,0.027138269,0.035382025,0.044064276,0.10004725,0.2178472,0.16686913
3,".... is good , But don ' t compare him to . Not now anyway . That is our winning Central ...",sports,0.020824814,0.02122304,0.032242965,0.022146119,0.05969436,0.090620264,0.06742074
4,dude just won the few ago but go keep going,sports,0.09763293,0.028091611,0.033517323,0.03806482,0.038239896,0.23926286,0.16431879
5,Got any clips from the final ? again i forgot 😹😹,sports,0.15276173,0.04066167,0.076479025,0.056389544,0.12998565,0.18287566,0.13055402
6,"If you ’ re this point , won 🤷🏿‍♂️",sports,0.04268845,0.037089985,0.0525975,0.0709396,0.14814359,0.16691403,0.14309327
7,he in,sports,0.025692256,0.024009887,0.026247634,0.050057456,0.08329319,0.12399948,0.08563943
8,Really ? Because from what I saw of him at the for he was on the left,sports,0.019297661,0.018324604,0.039213166,0.024103584,0.03139187,0.43830085,0.044001784
9,himself ’ t . Especially considering he won with this year,sports,0.03599298,0.029122064,0.02912757,0.039652973,0.0391164,0.2964184,0.07895185
10,"Do you know how many he potentially saved from at the ? If he an error for one , but us from four than that ’ s fine by me . He can ’ t be error prone than and either 🤷🏻‍♂️",sports,0.039254878,0.032271,0.043379806,0.031830236,0.058161564,0.27335632,0.0639335
11,You nor watch the some ?,sports,0.028439116,0.023971157,0.028823748,0.028986583,0.042220145,0.13347411,0.08950939
12,Even . 😁,sports,0.010412407,0.0114778085,0.020713266,0.017469825,0.028756274,0.1533278,0.059314284
13,TITLE : A LETTER TO MY YOGA INSTRUCTOR . She me 🔥 crayon Chief of staff lay savage,sports,0.20963,0.1890534,0.10860728,0.16962421,0.36285955,0.65017885,0.25815615
14,did you see and but this ' t fit their agenda,sports,0.034104515,0.05296402,0.12649015,0.071910724,0.043469276,0.41518828,0.08748913
15,Agreed .. holding him hostage in qualifier and final is the part,sports,0.0801064,0.039083395,0.043731507,0.03538669,0.032707553,0.6064077,0.20989989
16,"Not really . It was only a few ago he win the . He ’ s 31 ( ), but not every single player up the second they reach 30 . Who would you rather sign instead ? Ake ? A guy who ’ s ’ t allot of football over the past 12 .",sports,0.028954152,0.030036913,0.019943753,0.021669082,0.020830167,0.069170125,0.055063684
17,honestly 😭😭 anyone must just say they don ’ t watch A and never watched recently,sports,0.04406188,0.12119158,0.26090056,0.10793609,0.07935866,0.27192727,0.28165147
18,Good football nation . Always them . Always been competitive but it was a lot more even some back . away when the in their . I think most who have won with been . 1986 might have been Welsh tho,sports,0.052935857,0.043360353,0.1391745,0.058030766,0.061242808,0.2622375,0.14995399
19,big fan from 🇬🇭 I watch u on as much as I can .. this is me and our former boss in 🇬🇭 for the here .. God bless .,sports,0.0253489,0.028443746,0.04429506,0.03795941,0.041437298,0.1150292,0.055923093
20,Port Vale are good enough to win for god sake 🤣,sports,0.0334178,0.030585092,0.082204044,0.053236738,0.042025656,0.47695947,0.078317724
21,He captain his side to win and is far far better than,sports,0.060927194,0.022302922,0.030742433,0.040403817,0.038876604,0.5209647,0.055717334
22,Is That The Year He Was On His Peak ?? Thought 2019 ... Time Surely . But Ga A Bad . I Don ' t Mind Him . He Still Got That In Him 💪💪( Based On His Performance ),sports,0.09816993,0.079718105,0.122035235,0.07910346,0.07288976,0.20769882,0.12648885
23,"Footy That is 3 of football . If you ’ watched him in One and he is undeniably great right now . With ’ s , sometimes their best football is ahead of them . It ’ s a good .",sports,0.019436494,0.022754518,0.03377805,0.034894485,0.04084921,0.17208745,0.099766396
24,"there were links at the start of the window , but like 30m which is 2x Kim Min - . i at and in the too",sports,0.032902762,0.018152785,0.040068455,0.02320999,0.051641826,0.011796325,0.054826323
25,man be ?,sports,0.0186035,0.034756325,0.074657835,0.05524702,0.056465525,0.12301179,0.11810003
26,"36 year old Silva been our best player , 175k a week for a top 10 who ' s just own",sports,0.012564304,0.022849733,0.039481267,0.0348232,0.039871108,0.11813485,0.08898603
27,Did you watch the final and,sports,0.03427619,0.031026507,0.050602168,0.042738374,0.04030428,0.22278774,0.13365413
28,' t this pocket in the with a yellow card ? 😂😂😂😂,sports,0.056931525,0.0411222,0.045485333,0.045847148,0.060454957,0.121295884,0.0994883
29,from the,sports,0.01999182,0.013582224,0.023267433,0.023226425,0.043526538,0.083262995,0.052146066
30,Do the final now,sports,0.07730943,0.021124039,0.02526139,0.03160164,0.041723356,0.27917728,0.11969768
31,"Thats my only problem sha , But he was so good during the last though",sports,0.10699297,0.05630225,0.067104965,0.100622505,0.13906893,0.24333483,0.2082248
32,' t error prone . 😲 people are even this rubbish . was the most recent international tournament he since most people don ' t watch the A . how many did he commit all tournament ? . This is trying to tell you he ' s 😛,sports,0.5363433,0.22300941,0.18026276,0.3037004,0.035462923,0.6486556,0.13353822
33,I don ' t watch but he was crazy good at,sports,0.21362646,0.06264604,0.10716892,0.19351101,0.05674369,0.3326285,0.06478474
34,"I don ’ t think ability much to do with it . I think it ’ s more to do with good , and looking after yourself which anyone can do . From what I saw of at the he a proper machine .",sports,0.028439116,0.027145023,0.037188124,0.05133646,0.09390193,0.14795008,0.061491683
35,"is world class . All the big have been trying to sign him for for a reason . He was a shield for at the as well ( which they won ). No mate , but even at 31 he ’ s still above Ben White and I reckon he ’ d get in your team as well",sports,0.090114996,0.04409566,0.20102873,0.074649304,0.12109271,0.71266836,0.06818128
36,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
37,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
38,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
39,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
40,gene Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.12824467,0.25956172,0.24996272,0.21650536,0.30444765,0.07789807,0.49873066
41,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
42,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
43,a Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.094410956,0.16746645,0.15635759,0.15366885,0.2155327,0.09436319,0.3255336
44,So is now you people no get shame,sports,0.30053464,0.12906004,0.11028773,0.15488923,0.053748768,0.2643374,0.21952668
45,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
46,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
47,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
48,Actress Rita her Baby on Her Birthday Click on the BLUE LINK 👆 To Watch Chief Of Staff NO LEAVE NO TRANSFER BATSHET2023 Obidatti2023,sports,0.076110736,0.1739022,0.1585242,0.1608741,0.20932075,0.09735721,0.35023183
